Column1,Column2,Column3,Column4,Column5,ids_row
"нежилое помещение, приморский край, г.владивосток, ул. фонтанная, 19 (51-06-01-00-00-186) - ремонт помещений",810.22,2023.0,"Текущий ремонт зданий, сооружений",228.0,51-06-01-00-00-186
"1. здание г.владивосток, ул. светланская,71(пристройка) (51-01-01-00-01-002 (комп)",1979.74,2020.0,"Текущий ремонт зданий, сооружений",231.0,51-01-01-00-01-002
"2. пятиэтажное здание (лит.а2-пристройка, центральный банк рф) с цокольным и мансардными этажами, ул. светланская,71 (51-01-01-00-01-002 (комп)",186.37,2019.0,"Текущий ремонт зданий, сооружений",231.0,51-01-01-00-01-002
"11. проходная пристройки ркц уссурийск, приморский край, г. уссурийск, ул. некрасова, 102 (51-01-01-00-02-013 (комп.))",0.0,2019.0,"Текущий ремонт зданий, сооружений",234.0,51-01-01-00-02-013
"9. проходная пристройки ркц, приморский край, г. уссурийск, ул. некрасова, 102 (51-01-01-00-02-013 (комп.))",0.0,2020.0,"Текущий ремонт зданий, сооружений",234.0,51-01-01-00-02-013
"здание - расчетно-кассовый центр г. находка главного управления центрального банка российской федерации по приморскому краю, приморский край, г. находка, проспект находкинский, 13 (51-01-01-00-06-046(комп.)) устройство площадки тко под мусорные баки",86.12,2021.0,"Текущий ремонт зданий, сооружений",239.0,51-01-01-00-06-046
"выборочный капитальный ремонт  нежилых помещений, расположенных по адресу:  г. владивосток, ул. светланская, д.73",2875630.0,2020.0,Капитальный ремонт,241.0,
"выборочный капитальный ремонт  нежилых помещений, расположенных по адресу:  г. владивосток, ул. светланская, д.73",2907500.0,2021.0,Капитальный ремонт,241.0,
"выборочный капитальный ремонт нежилых помещений, расположенных по адресу: г. владивосток, ул. светланская, д.73",2907500.0,2022.0,Капитальный ремонт,241.0,
"выборочный капитальный ремонт нежилых помещений, расположенных по адресу: г. владивосток, ул. светланская, д.73",2907500.0,2023.0,Капитальный ремонт,241.0,
"капитальный ремонт гидроизоляции фундаментов объекта: ""помещения столовой гу в нежилых помещениях в здании (лит. а); номера на поэтажном плане: 1-28; 1-24, 26-29, 39-43; 1-34 (iii)"", расположенного по адресу: приморский край, г. владивосток, ул. светланская, д. 73",2817.2,2018.0,Капитальный ремонт,241.0,
"капитальный ремонт нежилых помещений и помещения столовой  гу в нежилых помещениях здания  (лит.а), расположенных по адресу:  г. владивосток, ул. светланская, д.73",31288369.0,2022.0,Капитальный ремонт,241.0,
"капитальный ремонт нежилых помещений и помещения столовой  гу в нежилых помещениях здания  (лит.а), расположенных по адресу:  г. владивосток, ул. светланская, д.73",31288369.0,2023.0,Капитальный ремонт,241.0,
"капитальный ремонт нежилых помещений и помещения столовой  гу в нежилых помещениях здания  (лит.а), расположенных по адресу:  г. владивосток, ул. светланская, д.73  ",30232722.0,2020.0,Капитальный ремонт,241.0,
"капитальный ремонт нежилых помещений и помещения столовой  гу в нежилых помещениях здания  (лит.а), расположенных по адресу:  г. владивосток, ул. светланская, д.73     ",31288369.0,2021.0,Капитальный ремонт,241.0,
"реконструкция теплововго пункта дальневостчоного гу банка россии, расположенного в нежилых помещениях по адресу: г. владивосток, ул. светланская, 73",631632.0,2020.0,Капитальное строительство,241.0,
"создание системы вентиляции в помещениях столовой дальневосточного гу банка россии по адресу: г. владивосток, ул. светланская, д. 73",3643.39,2019.0,Капитальное строительство,241.0,
"создание системы вентиляции в помещениях столовой дальневосточного гу банка россии по адресу: г. владивосток, ул. светланская, д. 73",9250355.0,2021.0,Капитальное строительство,241.0,
"создание системы вентиляции в помещениях столовой дальневосточного гу банка россии по адресу: г. владивосток, ул. светланская, д. 73",8446859.0,2022.0,Капитальное строительство,241.0,
"создание системы вентиляции в помещениях столовой дальневосточного гу банка россии по адресу: г. владивосток, ул. светланская, д. 73",8446859.0,2023.0,Капитальное строительство,241.0,
"3. нежилые помещения в здании (лит 1,а). владивосток, ул. светланская, 73 (51-01-01-00-07-184(комп.))",102.31,2020.0,"Текущий ремонт зданий, сооружений",241.0,51-01-01-00-07-184
"4. нежилые помещения в здании (лит 1,а). владивосток, ул. светланская, 73 (51-01-01-00-07-184(комп.))",260.8,2019.0,"Текущий ремонт зданий, сооружений",241.0,51-01-01-00-07-184
"1. помещения столовой гу в здании центрального банка российской федерации (банк россии) с пристройкой г. владивосток светланская, 73 (лит. а, пристройка - лит. а1) (51-03-01-00-07-185(комп.))",138.5,2019.0,"Текущий ремонт зданий, сооружений",242.0,51-03-01-00-07-185
"1. здание- центральный банк российской федерации (банк россии) с пристройкой, ул. светланская, 71  ( 51-01-01-00-11-001(комп))",1021.76,2019.0,"Текущий ремонт зданий, сооружений",243.0,51-01-01-00-11-001
